,np,lnLik,DiscLik,ContLik,AICc,dAICc,AICcwt
RQL_fish-crusts_cd_oumv,89,-702.7857124,-758.8565577,58.73236178,1615.420331,0,0.47317936
RQL_shapesize_cd_oumv,83,-711.029053,-763.1457304,52.67038341,1615.452998,0.032666486,0.46551358
RQL_FC-SE_cd_oumv,87,-708.3232502,-763.0221928,56.2810035,1620.967292,5.546961009,0.029547348
RQL_snakes-eels_cd_oumv,89,-705.739357,-759.4690028,58.76832146,1621.32762,5.907289006,0.024675973
RQL_FC-nolimbs_cd_oumv,87,-710.2725567,-764.7590958,53.03381794,1624.865905,9.44557401,0.004206738
RQL_tet-crusts_cd_oumv,89,-708.6976704,-761.9072443,54.96925014,1627.244247,11.8239159,0.001280841
RQL_bigbulky-SE_cd_oumv,85,-714.6996307,-762.5427041,47.43641718,1628.235553,12.81522186,0.000780253
RQL_FC-SW_cd_oumv,87,-712.5371815,-761.2820036,51.4815801,1629.395155,13.9748236,0.00043695
RQL_bigbulky_cd_oumv,87,-713.2482091,-763.3516797,50.0342072,1630.81721,15.39687878,0.000214603
RQL_ingestionratio_cd_oumv,83,-719.1766568,-753.0146399,35.17327046,1631.748206,16.32787416,0.000134733
RQL_tet-crusts_cd_oum,82,-722.1585237,-762.9149409,40.18999324,1635.007243,19.58691194,2.64108E-05
RQL_clades_cd_oumv,83,-723.6554838,-761.7145138,40.51615422,1640.70586,25.28552806,1.52877E-06
RQL_9cats_cd_oum,83,-724.1490389,-763.0211144,40.32017488,1641.69297,26.27263822,9.33243E-07
RQL_RQLgroup1_cd_oumv,81,-727.8312041,-761.8633456,37.83638546,1643.658494,28.23816282,3.4929E-07
RQL_SEWB_cd_oumv,85,-722.4578022,-760.4648277,41.51867835,1643.751896,28.33156483,3.33353E-07
RQL_FC-SW_cd_oum,81,-729.8354827,-733.6996595,6.157365817,1647.667051,32.24671997,4.70695E-08
RQL_eels-worms_cd_oum,82,-729.9300038,-760.3889764,34.35514685,1650.550204,35.12987215,1.11345E-08
RQL_bigbulky-SW_cd_oum,80,-733.9943608,-764.0740864,29.84090981,1653.301222,37.88089013,2.81381E-09
RQL_snakes-worms_cd_oumv,89,-721.9488148,-763.7072288,41.77807638,1653.746536,38.32620462,2.25214E-09
RQL_bigbulkybugs_cd_oumv,85,-727.5361987,-763.4224058,35.57555762,1653.908689,38.48835788,2.07675E-09
RQL_RQLgroup1_cd_oum,78,-739.8656057,-761.0190707,22.96302133,1659.707865,44.28753358,1.14317E-10
RQL_eels-worms_cd_oumv,89,-725.1580386,-760.7247161,38.88847914,1660.164984,44.74465231,9.09595E-11
RQL_shapesize_cd_oum,79,-740.0351324,-763.1747972,25.30765622,1662.709641,47.28930963,2.54849E-11
RQL_bigbulky-SW_cd_oumv,85,-732.0339344,-759.8305805,32.28449105,1662.904161,47.48382927,2.3123E-11
RQL_FC-SE_cd_oum,81,-737.5091498,-762.9886682,26.69054399,1663.014386,47.59405434,2.18831E-11
RQL_fish-crusts_cd_oum,82,-737.1780879,-761.6336932,26.61888682,1665.046372,49.62604043,7.92261E-12
RQL_tet-fish_cd_oumv,89,-727.8845372,-762.5105704,34.11771441,1665.617981,50.1976496,5.95312E-12
RQL_ingestionratio_cd_oum,79,-742.872989,-763.2176439,21.18632424,1668.385354,52.9650227,1.49217E-12
RQL_RQLgroup2_cd_oumv,79,-744.3154646,-763.8562818,19.9278602,1671.270305,55.84997402,3.52661E-13
RQL_9cats_cd_oumv,91,-729.7559774,-760.4561937,25.40226314,1674.933112,59.512781,5.64923E-14
RQL_RQLgroup3_cd_oum,76,-752.4387203,-768.5510453,13.23120445,1679.559611,64.13927976,5.58931E-15
RQL_FC-nolimbs_cd_ouv,81,-749.7241734,-760.9432061,12.15664345,1687.444433,72.02410139,1.0844E-16
RQL_shapesize_cd_ouv,79,-753.1545355,-765.4742742,10.56109913,1688.948447,73.52811579,5.11209E-17
RQL_FC-SE_cd_ouv,81,-750.8313464,-762.6656215,14.19239787,1689.658779,74.23844752,3.58387E-17
RQL_RQLgroup3_cd_oumv,77,-756.7133163,-762.6586802,6.490546188,1690.750904,75.330573,2.07587E-17
RQL_RQLgroup1_cd_ouv,78,-756.9308819,-758.6752906,6.393803257,1693.838417,78.41808597,4.43358E-18
RQL_bigbulky-SE_cd_ouv,80,-754.4151174,-762.7932918,9.023059012,1694.142735,78.72240339,3.80779E-18
RQL_bigbulkybugs_cd_ouv,80,-754.6302435,-762.8487666,10.87153684,1694.572987,79.15265552,3.07075E-18
RQL_eels-worms_cd_ouv,82,-752.0301823,-762.8528892,12.1050177,1694.750561,79.33022922,2.80986E-18
RQL_fish-crusts_cd_ouv,82,-752.4623286,-761.5195334,11.3567611,1695.614853,80.19452188,1.82392E-18
RQL_SEWB_cd_ouv,80,-755.1686447,-763.0988699,8.863662034,1695.649789,80.22945785,1.79234E-18
RQL_9cats_cd_ouv,83,-751.3834484,-763.6111141,13.09159987,1696.161789,80.74145735,1.38753E-18
RQL_snakes-worms_cd_ouv,82,-753.2375734,-761.2720436,9.917784749,1697.165343,81.74501135,8.40083E-19
RQL_snakes-eels_cd_ouv,82,-753.6071443,-760.9021861,10.31757401,1697.904485,82.48415321,5.80523E-19
RQL_FC-SW_cd_ouv,81,-755.1059718,-761.4010937,8.273256047,1698.20803,82.78769819,4.98776E-19
RQL_clades_cd_ouv,79,-758.8594883,-763.9263541,3.861647862,1700.358353,84.93802146,1.70204E-19
RQL_tet-crusts_cd_ouv,82,-754.9592554,-759.735988,8.406858263,1700.608707,85.18837536,1.50178E-19
RQL_bigbulky_cd_ouv,81,-756.3497804,-762.0565817,6.832336406,1700.695647,85.27531542,1.43789E-19
RQL_bigbulky-SW_cd_ouv,80,-758.4039884,-761.9668613,5.195192354,1702.120477,86.70014525,7.05226E-20
RQL_fish-crusts_cd_bmv,81,-757.4865192,-761.0029516,7.835509464,1702.969125,87.54879304,4.61367E-20
RQL_RQLgroup1_cd_bmv,77,-763.4333514,-762.7617661,1.538275174,1704.190975,88.77064327,2.50453E-20
RQL_snakes-worms_cd_oum,82,-757.3684745,-762.0537446,6.581545698,1705.427145,90.00681352,1.34988E-20
RQL_tet-fish_cd_ouv,82,-757.8572026,-763.4440749,7.443180414,1706.404601,90.98426977,8.28023E-21
RQL_snakes-eels_cd_bmv,81,-759.4673142,-761.4325166,4.483975152,1706.930715,91.51038313,6.365E-21
RQL_eels-worms_cd_bmv,81,-759.6191717,-762.9082708,5.42264369,1707.234429,91.814098,5.46824E-21
RQL_clades_cd_bmv,78,-764.4064355,-764.2785246,-0.396521954,1708.789525,93.36919329,2.51283E-21
RQL_SEWB_cd_bmv,79,-763.2231233,-763.4866449,0.848123519,1709.085623,93.66529136,2.16704E-21
RQL_FC-nolimbs_cd_bmv,80,-763.0463898,-762.2250064,1.749566299,1711.40528,95.9849481,6.79453E-22
RQL_nolimbs_cd_bmv,80,-763.0837037,-761.3537405,2.14779177,1711.479907,96.05957602,6.54567E-22
RQL_nolimbs_cd_oum,81,-762.3438664,-761.4671944,3.883626356,1712.683819,97.26348745,3.58532E-22
RQL_bigbulkybugs_cd_oum,80,-764.3736409,-762.5415031,1.102426278,1714.059782,98.63945044,1.80194E-22
RQL_bigbulkybugs_cd_bmv,79,-765.7545368,-764.9485343,-0.480026424,1714.14845,98.72811841,1.7238E-22
RQL_tet-fish_cd_bmv,81,-763.4254596,-760.7120893,1.113782288,1714.847005,99.42667392,1.21562E-22
RQL_bigbulky-SW_cd_bmv,79,-766.3761973,-765.2766525,-3.117475221,1715.391771,99.97143943,9.25771E-23
RQL_FC-SW_cd_bmv,80,-765.6664148,-760.5162303,-2.156742877,1716.64533,101.2249981,4.94649E-23
