"","np","lnLik","DiscLik","ContLik","AICc","dAICc","AICcwt"
"MA_fish-crusts_cd_oumv",89,-361.269054368275,-762.862870788695,401.381748226442,932.387015297187,0,0.401130536628626
"MA_bigbulky-SE_cd_oumv",85,-367.138842161058,-762.770913444631,396.414311406555,933.11397623533,0.72696093814352,0.278886930600658
"MA_9cats_cd_oumv",91,-359.124521821705,-761.840123745217,404.667902540762,933.670201328041,1.28318603085427,0.21117641763212
"MA_FC-SW_cd_oumv",87,-365.359408714939,-764.268552737842,397.070118752823,935.039609509087,2.65259421190035,0.106483473652442
"MA_nolimbs_cd_oum",81,-377.66891133514,-761.249397763722,385.179820459282,943.333908775955,10.9468934787683,0.00168344142040935
"MA_FC-SE_cd_oum",81,-380.148502061373,-763.195685593323,383.541921065272,948.293090228421,15.9060749312346,0.000141034524561328
"MA_bigbulkybugs_cd_oumv",85,-374.750923816971,-763.133400624096,389.067771393892,948.338139547156,15.9511242499697,0.000137893280473801
"MA_snakes-worms_cd_oum",82,-378.872929935176,-761.938567585064,385.259813203903,948.436055948782,16.049040651596,0.000131304867901378
"MA_shapesize_cd_oum",79,-383.316566922499,-761.254702957612,379.389631065811,949.272510063322,16.8854947661355,0.000086426539432473
"MA_bigbulky-SW_cd_oum",80,-382.425940437843,-763.068848540037,381.034618125631,950.164380875686,17.7773655784998,0.0000553324420383652
"MA_FC-nolimbs_cd_oum",81,-381.457391977252,-761.617545615694,381.699867676509,950.910870060178,18.5238547629917,0.0000380962099029802
"MA_tet-fish_cd_oum",82,-380.225292432352,-763.749315301659,384.153888407159,951.140780943136,18.7537656459493,0.0000339591848560313
"MA_bigbulkybugs_cd_oum",80,-384.018869167202,-762.845838439591,378.698035432265,953.350238334404,20.9632230372174,0.0000112507035273492
"MA_snakes-eels_cd_oum",82,-382.936502738163,-762.375141438759,379.318378172647,956.563201554757,24.1761862575707,0.00000225680264401698
"MA_eels-worms_cd_oum",82,-384.060536198552,-764.169908427998,381.342364359239,958.811268475536,26.4242531783491,0.000000733385049968362
"MA_tet-crusts_cd_oum",82,-384.580341356025,-760.821656480318,379.391657186132,959.850878790481,27.4638634932943,0.000000436097443831107
