"","np","lnLik","DiscLik","ContLik","AICc","dAICc","AICcwt"
"RQL_FC-SW_cd_oumv",87,-608.224821919651,-761.998223935599,155.315519560163,1420.77043591851,0,0.770298062154741
"RQL_FC-SE_cd_oumv",87,-610.137152698591,-762.569536988041,151.756676655005,1424.59509747639,3.82466155787847,0.113800481718955
"RQL_FC-nolimbs_cd_oumv",87,-610.531661045899,-762.984109740556,153.751329505267,1425.38411417101,4.61367825249476,0.0767028148674939
"RQL_eels-worms_cd_oumv",89,-609.325338734921,-761.546917871958,154.324400387411,1428.49958403048,7.72914811196779,0.0161545780109567
"RQL_bigbulkybugs_cd_oumv",85,-615.131175562191,-762.44287407615,149.226709679638,1429.0986430376,8.32820711908698,0.0119732377786645
"RQL_snakes-eels_cd_bmv",81,-620.958729766992,-759.885264320781,141.168302122175,1429.91354563966,9.14310972114868,0.00796632014658979
"RQL_snakes-worms_cd_bmv",81,-622.704411761558,-760.357414623116,139.269796860065,1433.40490962879,12.6344737102813,0.0013903293736229
"RQL_FC-SW_cd_bmv",80,-624.714240494277,-761.68437161367,139.496052952736,1434.74098098855,13.9705450700437,0.000712842342616442
"RQL_SEWB_cd_bmv",79,-626.810533625127,-764.29438170558,136.817213353777,1436.26044346858,15.4900075500677,0.000333462040604611
"RQL_RQLgroup1_cd_oumv",81,-624.76333174775,-761.945764473444,141.476512398252,1437.52274960118,16.7523136826655,0.000177394483199044
"RQL_RQLgroup1_cd_bmv",77,-630.617358377965,-761.914484474161,133.713152501858,1438.55898860059,17.7885526820801,0.000105663178285774
"RQL_FC-nolimbs_cd_ouv",81,-625.341767806005,-762.325165276159,136.86117343138,1438.67962171769,17.9091857991748,0.0000994783381122709
"RQL_eels-worms_cd_bmv",81,-625.357773446034,-763.063602980739,139.46466484037,1438.71163299774,17.9411970792326,0.0000978987981363768
"RQL_fish-crusts_cd_oumv",89,-614.642257026594,-762.121867257523,149.121569405258,1439.13342061382,18.3629846953133,0.0000792843268206957
"RQL_9cats_cd_bmv",82,-625.428771185352,-758.112366351727,135.705211429531,1441.54773844914,20.7773025306249,0.0000237096359890001
"RQL_fish-crusts_cd_bmv",81,-626.798420111326,-763.273628033021,139.023789296974,1441.59292632833,20.8224904098174,0.0000231799483043825
"RQL_FC-nolimbs_cd_bmv",80,-628.179587693452,-762.134059744212,134.816069790449,1441.6716753869,20.901239468393,0.0000222849837774367
"RQL_FC-SE_cd_bmv",80,-628.226605503203,-763.532320539311,136.515215778709,1441.76571100641,20.9952750878952,0.0000212614435131696
"RQL_fish-crusts_cd_ouv",82,-626.86515250391,-764.236914296243,137.144720630135,1444.42050108625,23.6500651677416,0.00000563783557617823
