,species,inlever,mand,quad,skull,MA,RQL,diet,color,ma_var,rql_var,,
217,Gyalopion_quadrangulare,1.121268381,2.267825734,0.955385095,2.170985893,-1.146557353,-1.215600798,bugs,goldenrod2,0.004116077,0.01027092,,
216,Gyalopion_canum,1.059832219,2.179575923,0.947326061,2.067283372,-1.119743704,-1.119957311,bugs,goldenrod2,0.001372026,0.00342364,,
197,Ficimia_streckeri,1.029339881,2.223771371,1.045863269,2.007245027,-1.194431489,-0.961381757,bugs,goldenrod2,0.001372026,0.00342364,,
520,Sympholis_lippiens,1.540766072,2.538194195,1.2115041,2.413745258,-0.997428123,-1.202241157,bugs,goldenrod2,0.004116077,0.01027092,,
464,Pseudoficimia_frontalis,1.353250549,2.575668313,1.258232116,2.459925634,-1.222417763,-1.201693518,bugs,goldenrod2,0.004116077,0.01027092,,
105,Conopsis_biserialis,1.01471031,2.184840585,0.828737193,2.149889698,-1.170130275,-1.321152505,bugs,goldenrod2,0.002058038,0.00513546,,
106,Conopsis_nasus,1.00286559,2.207664019,0.865184137,2.172130181,-1.204798429,-1.306946045,bugs,goldenrod2,0.002058038,0.00513546,,
510,Sonora_semiannulata,0.852264236,2.060929951,0.569077368,2.036532249,-1.208665715,-1.467454882,bugs,goldenrod2,0.001029019,0.00256773,,
508,Sonora_aemula,1.165915709,2.398693376,0.954061236,2.286222845,-1.232777667,-1.332161609,bugs,goldenrod2,0.004116077,0.01027092,,
509,Sonora_occipitalis,0.67142942,1.921653473,0.694188425,1.941746673,-1.250224054,-1.247558248,bugs,goldenrod2,0.002058038,0.00513546,,
511,Sonora_straminea,0.842737689,1.987433942,0.983751105,1.990295354,-1.144696253,-1.006544249,bugs,goldenrod2,0.002058038,0.00513546,,
514,Stenorrhina_freminvillei,1.027860857,2.491269156,1.15773929,2.374282176,-1.463408299,-1.216542886,bugs,goldenrod2,0.004116077,0.01027092,,
528,Tantilla_gracilis,0.507544229,1.551312999,-0.128823349,1.550289913,-1.04376877,-1.679113262,bugs,goldenrod2,0.004116077,0.01027092,,
529,Tantilla_hobartsmithi,0.479879445,1.628163792,-0.022026855,1.598164891,-1.148284347,-1.620191746,bugs,goldenrod2,0.004116077,0.01027092,,
531,Tantilla_nigriceps,0.616051918,1.846941395,0.082440121,1.798831419,-1.230889477,-1.716391298,bugs,goldenrod2,0.002058038,0.00513546,,
532,Tantilla_relicta,0.41509393,1.671019427,-0.029919049,1.658809358,-1.255925497,-1.688728407,bugs,goldenrod2,0.004116077,0.01027092,,
